ticker,name,sector,close,chg1d,long_score,fade_score,trend,respect_profile,rsi,pctb,bandwidth,atr_pct,relvol,pos52,vs_sma20,vs_sma50,vs_sma200,macd_hist,support_level,support_dist_atr,support_rate,support_n,support_base,support_score,resist_level,resist_dist_atr,resist_base,resist_rate,resist_n,resist_score,long_raw,fade_raw,rs_1m,rs_3m,weekly_trend,vol_confirm,broken_level,broken_rate,broken_n,broken_dist_atr,broken_base,sma20_sup_rate,sma20_sup_base,sma20_sup_n,sma20_res_rate,sma20_res_base,sma20_res_n,sma50_sup_rate,sma50_sup_base,sma50_sup_n,sma50_res_rate,sma50_res_base,sma50_res_n,sma100_sup_rate,sma100_sup_base,sma100_sup_n,sma100_res_rate,sma100_res_base,sma100_res_n,sma200_sup_rate,sma200_sup_base,sma200_sup_n,sma200_res_rate,sma200_res_base,sma200_res_n,bb_lower_sup_rate,bb_lower_sup_base,bb_lower_sup_n,bb_upper_res_rate,bb_upper_res_base,bb_upper_res_n
OKE,Oneok,Energy,91.1900,0.0072,52.4268,6.0000,Up,SMA100 78% vs 67% (n=39),41.4104,0.0369,0.0795,0.0259,0.0775,0.7732,-0.0368,-0.0151,0.0755,-0.7528,SMA100,0.4274,0.7832,39,0.6699,40.5410,,,,,0,0.0000,52.4268,6.0000,-0.0256,0.0095,Down,False,,,0,,,0.6093,0.6699,112,0.5987,0.6170,97,0.7024,0.6699,71,0.5222,0.6170,62,0.7832,0.6699,39,0.4687,0.6170,29,0.6382,0.6699,19,0.5816,0.6170,14,0.7776,0.7463,77,0.7073,0.6276,107
GOOGL,Alphabet Inc. (Class A),Communication Services,339.1000,0.0038,52.0929,0.0000,Up,SMA200 82% vs 69% (n=20),46.1364,0.3933,0.0735,0.0259,0.2143,0.6008,-0.0078,-0.0150,0.0043,0.4008,SMA200,0.1657,0.8232,20,0.6894,59.5278,,,,,0,0.0000,52.0929,0.0000,-0.0248,-0.0587,Down,False,,,0,,,0.6800,0.6894,103,0.5240,0.5635,90,0.5956,0.6894,51,0.5659,0.5635,53,0.5835,0.6894,35,0.5392,0.5635,28,0.8232,0.6894,20,0.3818,0.5635,15,0.7283,0.6807,78,0.6715,0.6113,89
WMB,Williams Companies,Energy,70.6350,-0.0067,51.2983,6.0000,Up,SMA200 88% vs 76% (n=28),41.8899,0.0879,0.0761,0.0258,0.0555,0.6603,-0.0314,-0.0239,0.0106,-0.2879,SMA200,0.4073,0.8767,28,0.7638,41.1265,,,,,0,0.0000,51.2983,6.0000,-0.0034,-0.1096,Down,False,,,0,,,0.6643,0.7638,112,0.5841,0.5636,106,0.7132,0.7638,76,0.6285,0.5636,68,0.7152,0.7638,59,0.5390,0.5636,41,0.8767,0.7638,28,0.5397,0.5636,15,0.8604,0.8478,72,0.6365,0.6396,110
GS,Goldman Sachs,Financials,921.6750,-0.0157,49.1157,14.0000,Mixed,SMA100 68% vs 55% (n=27) | BB lower 79% vs 68% (n=77),32.4858,0.0316,0.1606,0.0291,0.2325,0.4636,-0.0752,-0.1003,-0.0303,-8.5025,BB lower,0.1887,0.7869,77,0.6842,44.8744,,,,,0,0.0000,49.1157,14.0000,-0.1122,-0.1874,Down,False,,,0,,,0.5845,0.7386,102,0.6104,0.5533,93,0.5707,0.7386,59,0.6138,0.5533,55,0.6653,0.7386,29,0.6843,0.5533,27,0.6906,0.7386,22,0.5551,0.5533,18,0.7869,0.6842,77,0.5772,0.6037,92
T,AT&T,Communication Services,25.5699,0.0107,48.9411,10.2000,Mixed,SMA50 78% vs 63% (n=54) | SMA20 77% vs 63% (n=96),52.6354,0.3986,0.0654,0.0234,0.1488,0.6514,-0.0066,0.0355,0.0328,-0.1528,SMA20,-0.2851,0.7650,96,0.6259,56.3550,,,,,0,0.0000,48.9411,10.2000,-0.0105,0.1099,Up,False,,,0,,,0.7650,0.6259,96,0.5613,0.5994,84,0.7845,0.6259,54,0.4278,0.5994,39,0.6913,0.6259,30,0.4275,0.5994,25,0.6043,0.6259,20,0.6695,0.5994,19,0.5798,0.6074,64,0.6259,0.5836,94
FRT,Federal Realty Investment Trust,Real Estate,109.7050,0.0029,46.8325,14.0000,Mixed,SMA200 80% vs 65% (n=23),21.5972,0.0588,0.0962,0.0149,0.0812,0.5480,-0.0425,-0.0758,-0.0104,-0.4645,SMA200,-0.7033,0.8002,23,0.6511,39.5940,,,,,0,0.0000,46.8325,14.0000,-0.0726,-0.1590,Down,False,,,0,,,0.6753,0.6511,105,0.5820,0.6740,102,0.6030,0.6511,65,0.5949,0.6740,56,0.7039,0.6511,48,0.6295,0.6740,40,0.8002,0.6511,23,0.5757,0.6740,25,0.7758,0.6799,82,0.7098,0.6637,104
GOOG,Alphabet Inc. (Class C),Communication Services,335.6100,0.0019,46.6669,8.0000,Mixed,SMA200 83% vs 69% (n=21),45.5464,0.3798,0.0685,0.0253,0.1667,0.5929,-0.0082,-0.0188,-0.0019,0.4515,SMA200,-0.0746,0.8308,21,0.6926,65.6742,,,,,0,0.0000,46.6669,8.0000,-0.0246,-0.0645,Down,False,,,0,,,0.6584,0.6926,105,0.5299,0.5840,91,0.6069,0.6926,50,0.4780,0.5840,49,0.6506,0.6926,31,0.4947,0.5840,27,0.8308,0.6926,21,0.3520,0.5840,14,0.7306,0.6594,79,0.6520,0.5938,84
NWSA,News Corp (Class A),Communication Services,28.2800,0.0057,46.4317,6.0000,Up,SMA200 77% vs 59% (n=25) | SMA100 70% vs 59% (n=45),36.9451,-0.0603,0.1052,0.0254,0.1016,0.6561,-0.0589,-0.0291,0.0734,-0.2943,SMA100,0.8691,0.7016,45,0.5943,22.5519,,,,,0,0.0000,46.4317,6.0000,-0.0835,0.0772,Down,False,,,0,,,0.6418,0.5943,115,0.6886,0.6828,90,0.6922,0.5943,63,0.6513,0.6828,57,0.7016,0.5943,45,0.6520,0.6828,37,0.7716,0.5943,25,0.6690,0.6828,24,0.7269,0.7201,77,0.7231,0.6742,91
CHD,Church & Dwight,Consumer Staples,96.5950,0.0060,44.8535,0.0000,Up,SMA200 79% vs 62% (n=41) | SMA100 74% vs 62% (n=55),47.0935,0.4429,0.1133,0.0179,0.0705,0.6500,-0.0065,-0.0208,0.0155,0.0282,SMA100,-0.3513,0.7370,55,0.6201,44.7386,,,,,0,0.0000,44.8535,0.0000,-0.0638,-0.0655,Down,False,,,0,,,0.6507,0.6201,112,0.6301,0.6603,97,0.6642,0.6201,72,0.6569,0.6603,67,0.7370,0.6201,55,0.5881,0.6603,43,0.7885,0.6201,41,0.5229,0.6603,24,0.6912,0.7055,84,0.7148,0.6914,102
ROP,Roper Technologies,Information Technology,364.3200,-0.0056,43.3524,11.9000,Mixed,SMA200 78% vs 60% (n=31),31.3505,0.1308,0.2140,0.0279,0.0553,0.2784,-0.0790,-0.0674,-0.0183,-4.9373,SMA200,-0.6691,0.7833,31,0.6043,49.5983,,,,,0,0.0000,43.3524,11.9000,-0.1291,0.0540,Mixed,False,,,0,,,0.6454,0.6043,102,0.5837,0.7186,102,0.7017,0.6043,65,0.6233,0.7186,68,0.6234,0.6043,48,0.5823,0.7186,37,0.7833,0.6043,31,0.4531,0.7186,20,0.6869,0.6882,99,0.7716,0.7463,88
AWK,American Water Works,Utilities,133.2950,0.0018,43.1244,6.0000,Up,SMA200 78% vs 66% (n=43),38.5708,-0.0008,0.0657,0.0192,0.1068,0.6147,-0.0329,-0.0193,0.0211,-0.9090,SMA200,1.0727,0.7798,43,0.6629,16.6598,,,,,0,0.0000,43.1244,6.0000,-0.0532,-0.0124,Down,False,,,0,,,0.5816,0.6629,102,0.6060,0.7030,98,0.6196,0.6629,60,0.7272,0.7030,70,0.7302,0.6629,64,0.5312,0.7030,54,0.7798,0.6629,43,0.5336,0.7030,35,0.7436,0.7235,90,0.7429,0.7006,94
